,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19
demographics_gender,0.012397769244458444,-0.01038472245279033,0.016845149273520918,0.0009715146923502161,0.006237199022305264,0.017241067928301067,0.036146507736811676,-0.01768608805413007,-0.06535666036062725,-0.0007322717351183004,0.11634651168210242,-0.004211577203667377,-0.004103060265433051,-0.03228599392947359,0.1456959764498225,-0.10247067383459316,-0.15821499472700082,-0.005830433779368302,-0.11272165290348979,0.16573790841295472
demographics_age,0.0776871843515836,0.04511070638615504,0.15808927896985564,0.00785436744932394,0.14581654940237945,-0.04092849644946104,-0.08045231895713988,-0.029299584311734354,0.027957820652175207,0.008295703044530261,-0.09693302512541956,0.12287401733286715,-0.07928456269753585,0.12232172722380057,0.008307393797003808,-0.012193200990351842,-0.010057608262875677,0.03912338116670632,-0.03746695908556629,-0.03892413965901382
general_anchor_year,0.0009137432949845617,0.003333679213923751,0.002477281957247186,0.0016069560048734516,0.009176022271768265,0.0010421678992309105,-0.019386277991632186,-0.001047869301376301,0.012470599344395572,-0.004985391171175207,-0.00618513478586369,0.006558987286299476,0.010305227282401077,-0.00047693701799971075,0.006255524497354582,0.011751030989227345,-0.005409603852493093,0.01020193903750832,-0.012602520763783138,0.03930697103385244
general_anchor_age,0.07940775566389287,0.04586966345987708,0.1564206584230655,0.00719501838582849,0.14217714317039587,-0.04036011816972343,-0.07366805767379914,-0.02648263511965697,0.022114001170721678,0.008431068570995594,-0.09157121941886648,0.12264677697554315,-0.08351800826827072,0.13130648846618911,0.012952045678127971,-0.010256314835099568,-0.00456951060605314,0.04242437828331979,-0.042267021709103514,-0.046690453447836636
general_mortality_hours,-0.015585675791503165,0.012129149528709436,-0.020249330345129563,-0.004402934722770562,0.1261004400101644,0.009824648414624345,-0.24386958021005206,-0.2172937463786802,0.029792508604608154,0.020655647653937882,0.23561666181094493,0.24817596162285654,-0.030508759825926365,-0.06987429445372957,-0.012696272063577277,-0.007099960155613336,-0.007032036396296382,0.02225687227547047,0.09870844773611381,-0.010255539118723452
general_mortality_days,-0.015608864722001868,0.01212555224020516,-0.020273526933986794,-0.004403870977020716,0.12610418362835313,0.009835238266831029,-0.24387234018259166,-0.21729102111758072,0.029783354040760726,0.02065490127045173,0.23561758464176052,0.24814727646986523,-0.03050386776729341,-0.06986639886484702,-0.012703530480882472,-0.007093958660648864,-0.007024781913674689,0.02226174729977738,0.09870390349494713,-0.010257635523587301
demographics_ethnicity_asian,-0.0005410843919850693,0.004342812766931404,-0.00677676805586334,-0.0013678421990660932,-0.0075528568431563175,-0.015449923883553597,0.002571232354039742,0.01237464739859583,-0.004575155747183651,-0.0052304800232616765,-0.006172560813024807,-0.002692022980108558,-0.0036746836859432455,0.01964954226701619,-0.0372408624678694,0.03197879913825281,-0.01951345329113333,-0.034084254998976736,0.07233549935064261,-0.11210354109201057
demographics_ethnicity_black/african,-0.036300984372892815,-0.022323292121431904,-0.0013973565379647292,0.003290851946558959,-0.015649146006855765,-0.030464382578838548,-0.04566580905033557,0.011952820845237754,0.008419763286390443,-0.001608376712676061,-0.0037081164250032726,-0.027992038295275298,0.088958083296062,-0.20141844786163582,-0.1412420077217756,0.03923008682737333,-0.020615544466535955,-0.04712711314827819,0.08941304126484975,0.04273364793674131
demographics_ethnicity_hispanic/latino,-0.023653529187595283,-0.003205992176856784,-0.02427109403269575,-0.0018564099093400163,-0.010143845193796327,-0.0014189966621717689,-0.005552146724195824,0.026178052446344996,0.004616683877732453,-0.005942202097144067,6.408936665798218e-05,-0.03357632869656708,0.029781878254070204,-0.03452386285098257,-0.07273108537822853,0.02607866357934722,-0.0015380548591517296,0.013537525385545911,0.06124328228983275,-0.00024555724306771237
demographics_ethnicity_other,0.012751382249159879,-0.003690282782418567,0.00797083449481088,-0.002577158450236735,-0.032842003194999164,-0.006396450897781361,0.019352455945703655,0.012794668622273646,-0.06814011046335895,-0.008223851955876667,0.0611833476327397,-0.03328276921212425,0.024705115388042022,-0.00924709431774421,-0.07765483626796045,0.0503964546006285,0.0463475864158032,0.01352224436330484,0.014405292650945159,-0.03301779684241518
