,PC_0
1,-20.622484926047562
2,-11.532257093886052
3,-11.572880561611484
4,-7.59772611799726
5,-11.546561951368755
6,-11.43685399633782
7,22.296860775831338
8,-11.512083433863625
9,-11.521894535167284
10,-35.919944238991285
11,-25.575012351113244
12,-11.548047151456975
13,-11.542733594956543
14,-11.556860944143665
15,-11.474809978422895
16,-11.53619310712801
17,-28.017527996459812
18,63.575524816699975
19,-31.086405578258933
21,-24.508241891414315
22,-11.517174884331785
23,-11.519670863980663
24,-11.547954895396643
25,36.64894352657284
26,-39.66602142672009
27,-11.549604280549486
28,-23.835520259246973
29,-11.421866832227895
30,-42.56901953112254
31,-11.53999583374643
33,-11.521961084493496
34,-11.524687888709938
35,74.61213339587913
36,-11.532229349116923
37,-11.501686704010227
38,-11.52688641754611
39,-11.532277432664882
41,-28.0169139139903
42,-29.644046516743476
43,-11.477763272146197
44,-11.56091730322215
45,-11.485553539050219
46,-11.522865752066952
47,-11.398918899809967
48,1.341773084770465
49,-11.525862153776394
50,-11.5486537984181
51,531.3976419737704
52,-11.545882323885737
53,19.523539320305353
54,-11.538449442388853
55,40.224400849687974
57,56.110750382984186
58,-11.455154465714138
59,-19.861271358678945
60,-11.506804554388635
61,-11.485434269581324
62,-11.52401976918594
63,-11.570382507470882
64,-28.616436130313456
65,-11.545964394540869
66,-11.527062908741495
67,-11.543810972417708
68,10.197336555799646
69,-11.536275082308737
70,-34.00783108362332
71,-20.384348425338995
72,-11.535738791173133
75,-11.539094308620342
76,-11.568456260534187
77,-11.530586845811282
78,-38.56732123888582
80,-11.43558055309397
81,32.79273480818327
82,-11.548584303990397
84,-11.559395300187822
85,-11.567821803637516
86,-14.040637552426555
87,5.828602744883121
88,-11.518239035383742
89,-11.502546533059862
90,-28.046822060105555
91,-11.484441053656115
92,-11.53987062544587
93,-18.40969140671684
94,-36.08145290469048
95,7.981675739632695
96,-11.511051328144575
97,-11.520508730316068
99,-1.9065545645137767
100,-11.483263302714917
101,-11.47448531845446
102,-11.460757734595648
103,-11.563051557806105
104,-11.529265130605799
106,-11.483914123600623
107,-11.565907762107305
108,188.7207089617206
109,-11.547979402095226
111,-11.53152336640718
112,-19.974449830137605
113,-11.534038863098623
114,-8.388959353772668
115,-11.55856404294574
116,-11.556542293901051
117,365.38225954496147
118,10.970859604568567
120,-10.285559635729777
122,-11.562408423885342
123,23.689324682426026
124,-11.570071027529782
125,-28.17834100831147
126,-11.564438024799804
127,-11.488447003332602
128,-11.552645651617988
129,-11.545865489057359
130,-11.539365115355178
131,41.632776557802195
133,-11.538009917710012
134,-11.540290517902053
135,-27.191994693701385
136,-33.12746686790075
137,-11.529983940714368
138,-6.316007857683963
139,-11.523680522698488
140,-11.548722574823842
142,-11.319756556970672
143,-11.364575075041422
144,-11.524348230757012
145,-11.548257739758808
146,12.460270152115735
147,-11.533729095194271
148,9.692852572000064
149,-11.843114204768542
150,-11.506099803006274
151,-11.540612111395125
152,-22.89720699991416
153,-11.532166616881732
154,-11.470942386165055
155,-11.542557186986791
156,-2.639133709141287
157,133.0404420610722
158,-11.545496538903159
159,-11.540794870778779
160,-11.557020751852468
161,-11.547183850112273
162,-11.452487887621578
163,-11.5331108477307
164,-11.218937071965073
165,-28.123832111935922
166,-11.550856122619406
167,-11.532985299726562
168,-11.53294158700541
169,-11.435802232990948
170,-11.530029812025148
171,-11.535385256561842
172,-11.430147305846152
174,-30.25654793762846
175,-11.540411206047958
176,-11.540506521734185
177,-11.45345849556804
179,-11.561895965065673
180,-40.25062477534393
181,-11.534550324906096
